id,author_name,last_updated,rating,version,title,content,intention,classified intention
15873258,sdwolverine,2025-07-16T19:02:30-07:00,1,21.0.2,Garbage,This app constantly gives me trouble. All this money for all these years and they just can’t get it right.,Expressing dissatisfaction,General Feedback
14936273,Jesterjessin,2025-07-16T13:00:51-07:00,1,21.0.2,Garbage,"For a multi million dollar company, you would expect that the billing part of the app would always be updated. But it takes 2 to 3 billing cycles to be updated to normal. What a joke, garbage app.",Billing app issues,Account & Billing
14773244,EGSweet,2025-07-16T12:05:38-07:00,5,21.0.2,Best company ever,"My husband and I love Verizon. We’ve been customers for over 20 years after trying several other providers.  No one’s been able to touch Verizon. Not only is their phone service great, but every person we’ve ever dealt with has been amazing and their loyalty program is excellent.","Highly satisfied, loyal customer",General Feedback
13856275,apjr81,2025-07-16T07:29:37-07:00,2,21.0.2,Needs improvement,The app is constantly freezing.,App freezing issues,technical/platform issues
13322070,Cam3333333,2025-07-16T04:51:43-07:00,1,21.0.2,Waste of customers’ time,App is so slow and laggy. Wasted so much time trying to make changes to my services via the app instead of calling customer support. The app is supposed to be the quicker alternative!!,App performance issues.,technical/platform issues
12643451,"Darius 057,,’",2025-07-16T00:27:47-07:00,4,21.0.2,"Fraud,apple devices,my version account,version cellular,and my app","I am unhappy with my version account.someone have connected other apple devices to my account with out my permission.know they are in my settings, and using my credit cards,my Apple Pay with out my permission. I need help right now.  I have been saying the same thing for year. Please block all other devices that’s linked to my version account, And my device please",Account security issue,Account & Billing
11777174,Remo108,2025-07-15T18:29:59-07:00,1,21.0.2,Annoying,Stop asking if I like the app,Wants no more prompts,General Feedback
11431844,2yrs customer,2025-07-15T16:11:46-07:00,1,21.0.2,Terrible,Terrible no us customer service live agents,No customer service,Customer Support
10326043,tlmorman,2025-07-15T09:41:44-07:00,1,21.0.2,The app is in Spanish,I have tried everything to get the app in English to no avail. Help!,Change app language,General Feedback
7914713,niborsnebula,2025-07-14T19:15:05-07:00,5,21.0.2,The app works well,The app is easy to navigate.,Positive app experience,General Feedback
7593857,$isyphus,2025-07-14T17:06:55-07:00,1,21.0.2,Please invest in a better app development team/vendor,"It is hilarious that an ISP/Smart Phone retailer made this app. Incredibly slow performance. Frequent formatting or typographic errors throughout. Wildly frustrating, glitchy, and outdated interface. This would be disappointing 8 years ago - there is no excuse to be this bad in 2025.",Wants app improvement.,General Feedback
7217301,Sandwhichpants,2025-07-14T14:32:50-07:00,1,21.0.2,App doesn’t work,"I can’t even type anything if I try to make a 1-time payment, which is the only payment it will accept for my internet (which is also abysmal after 3 months of service, been trying to get that fixed for 3 years now).
Phone service is also mediocre at best. Claims I get 5g EVERYWHERE, but I drop to SOS mode more now than I ever did on AT&T. I’m currently on regular LTE data because, despite paying for the top service available, Verizon cannot uphold their end of a deal. Honestly might switch everything to another company cuz I’m beginning to truly hate this one.",Switching providers,Account & Billing
5789001,Sissy070201,2025-07-14T06:49:56-07:00,1,21.0.2,Screens do not load,This app is horrible. Every time I try to look at my account it just says it’s loading the page and it never loads if I try to view my payment method or add a payment method it just says loading or I get HTML code across the top of the page.,App loading issues,technical/platform issues
4566042,nogi3000,2025-07-13T23:07:38-07:00,1,21.0.2,Can’t even log in,"“Unable to process your request” in the app, not able to login on a website because no verification has been sent. How can you have to users such a bad developed app?",Login/app issues,technical/platform issues
4538519,Monquie😘,2025-07-13T22:55:07-07:00,1,21.0.2,Horrible,Apps crashes & freezes badly. Doesn’t always load.  Only good if you want to pay your bills online without going to the store,"Negative experience, app issues.",technical/platform issues
4254011,D Ace 🖤,2025-07-13T20:45:40-07:00,5,21.0.2,Access to do everything,I love that I can come on the app and do anything regarding my cell service. Thanks Verizon.,Loves Verizon app,General Feedback
3655040,Monge12,2025-07-13T16:31:43-07:00,1,21.0.2,Terrible update;awful pricing,"Recent updates to the app have made it a worse user experience than the previous version. One used to find all the information needed in a single tab, now one must dig through multiple sub menus just to get the same information. I’m guessing they’ve never heard the phrase “if it ain’t broke, don’t fix it.” Additionally, Verizon has switched to a tier subscription-like model for their phone upgrades where you only get good upgrade promotions by paying for the top tier plan. This is very different compared to before. I will be looking to switch to a different carrier.",Switching carriers,Account & Billing
3607183,Verizon. employee,2025-07-13T16:10:42-07:00,1,21.0.2,Very poor service,"Very poor service, especially for issues created by Verizon, I had to spent hours chasing their agents",Customer dissatisfaction with service,Customer Support
3480280,Andrew 3.21,2025-07-13T15:16:11-07:00,5,21.0.2,Customer service,Verizon customer service is the best in the world and the My Verizon app is amazing. Thank you again.,"Positive feedback, appreciation.",General Feedback
3476063,PortPort,2025-07-13T15:14:22-07:00,1,21.0.2,"Terrible company, terrible app",You click the customer service options and no one ever comes on.,Complain about service,Customer Support
3321989,sarahvh04,2025-07-13T14:11:20-07:00,1,21.0.2,Won’t even let me log in,"I went into the store in my town to get a new router. Opened a new account and everything and was told to download this app and I can’t even login, because the phone number it is sending the verification code to is the Wifi’s number. Last time I checked it cannot get a verification code. Went back to the store and they tried to help but to no success. Called the mobile line and it’s all AI and thought I was trying to change my phone number. Why have me download the app if I can’t even login to it?",Cannot log in,technical/platform issues
3155398,JW39999,2025-07-13T13:09:35-07:00,1,21.0.2,Impossible to use,"This app is so slow, it will not allow you to add / change any services and constantly logs you out, almost impossible to navigate",Negative feedback.,General Feedback
1802760,eiscremegod,2025-07-13T06:05:02-07:00,5,21.0.2,I Love My Verizon,Been with Verizon for over 15+ years now. I love all their services and products. Excellent customer service care and support.,Positive customer experience,General Feedback
788142,Ricky Valentyne,2025-07-12T23:31:37-07:00,1,21.0.2,Rage Bait App,"Everytime I sign in on the app theres a weird problem, bit this time it was the last straw. I went to sign in to my account and out of nowhere they asked me to verify my account by entering a code with some random number i've never seen before. I tried to get a hold of someone but it kept saying sign in and verify through phone number. I had to go to the website and pay off my bill. Delete the app and just use the website its just better with little to no problems.",App verification issues,technical/platform issues
700351,Jest CXVII,2025-07-12T22:52:40-07:00,1,21.0.2,"Awful support, delivered with a terrible app. 5 stars for this app is a joke.","Chat is worthless when the app works, app often crashes when trying to get to the login page. Can’t get much worse.",Negative feedback.,General Feedback
4293933288,TheDistinze,2025-07-12T10:58:28-07:00,1,21.0.2,Bad App Bad Website,Cannot look at community forums since it won’t let me open any of them or review comments on issues I’m having. Website login just goes into a login and “verify it’s you” loop. Pretty tired of Verizon and its poor cellular service and network.,App/website issues.,technical/platform issues
4293695787,Crashing Every Time I play,2025-07-12T09:40:38-07:00,5,21.0.2,My Verizon,I Like This App Because I Can Look At My Bill And To See When I Can Up Grade I Like The Verizon App I Can Look At My Date And I Can shop for me to see what kind of phone I want When I upgrade thank you my Verizon app yall do A great job to Help people,"Positive feedback, app functionality.",General Feedback
4293409639,The Internet is Dead,2025-07-12T08:13:50-07:00,1,21.0.2,Not for completionists,Hope you like random notifications for things you can’t find and won’t go away!,Frustrated by notifications,General Feedback
4293364210,BigWillieZteve,2025-07-12T08:00:39-07:00,2,21.0.2,Buyer Beware,"I have been a customer of Verizon for over 7 years. Have had the highest paid plan, fallen victim to the newest phone and upgrade, and dealt with this terrible app and chat feature an immeasurable amount of times.

I recently switched to Mint because it’s way cheaper (for the price of 1 month at Verizon , I can get 3 months at Mint for 2 people) and the connection has been identical. I kept the 5G internet because it works and it’s a good deal.

Since the switch, I have been faced with nothing but the most vindictive user experience. I lost access to my app account (which is how I pay my bill), I have now been inundated with warnings surrounding getting with the support team to troubleshoot my 5G connectivity. I’m no fool. They’ve been throttling my connection since I’ve switched carriers and I’ll call it like it is. It’s dishonest, petty, vindictive, and not a way a business should be practicing.

I’ve always said if you take care of your people, they will take care of you. Verizon will take your money, offer you discounts that are just what you would have paid had you not switched to the “newest” plan, and leave you on read when you are trying to do it their way.

You’ve been warned.",Warning about Verizon,General Feedback
4291223922,Reviewer3859,2025-07-11T18:15:26-07:00,1,21.0.2,Garbage,Being able to get logged in would be a good start....,Login issues,technical/platform issues
4291029418,Nacket,2025-07-11T16:55:00-07:00,1,21.0.2,Can’t turn off promotional notifications,"I get frequent promotional notifications about device offers, apps I should use, music I should listen to, etc. from this app and I can’t turn them off. Sure, I could turn off all notifications, but then I’d miss bill notices, which I want to get. Section 4.5.4 of the App Review Guidelines requires Verizon to provide a way to turn off promotional notifications, but there is simply no such way. On the Verizon website, not the app, there is a settings page for adjusting mobile notifications, but there is no promotional notification setting. Please address this, as it violates the App Store rules.",Turn off promotions,General Feedback
4291006052,LaoOfTheRice,2025-07-11T16:45:00-07:00,4,21.0.2,It’s a must,No really download it,Strong recommendation to download.,General Feedback
4290940602,Dash Pick,2025-07-11T16:17:00-07:00,1,21.0.2,Used to work well,"Verizon was always 1st in customer service: now? Every element hangs, stops working from FIOS to their app, and there is no chance of talking to customer service. If anyone has gotten past the bots (which do nothing), let me know.",Customer frustration with service,Customer Support
4290924424,Shaywatson12345@1,2025-07-11T16:10:07-07:00,5,21.0.2,Shannon is amazing!,Shannon was excellent to  work with!  Very professional and explained all of our options. Highly recommend this location and Shannon.,Highly recommends Shannon.,Customer Support
4290432197,Maxwellsmart2,2025-07-11T12:53:37-07:00,2,21.0.2,Does not load,"This app is horrible will not load just sits there flashing, why did you have to break something that was working",App not working,technical/platform issues
