id,author_name,last_updated,rating,version,title,content
335044540,Pmtick,2025-10-03T15:25:10-07:00,1,21.2.2,Why,For what we pay why can’t I talk to a live person ?
334478709,We scream!!! Ice CREAM!!!,2025-10-03T12:06:43-07:00,5,21.2.2,Wonderful,Great customer service best I’ve ever had
334116804,mara061020,2025-10-03T10:18:01-07:00,5,21.2.2,Customer service (Zoey),What an amazing and outstanding employee Verizon has the pleasure of having!
333580487,xdkilletvenom,2025-10-03T07:56:21-07:00,5,21.2.2,Amazing to be with,Verizon is so good and amazing I have enjoyed every minute I have been with them and the coverage is amazing love it
332538157,Tjlbfarmer,2025-10-03T03:12:00-07:00,5,21.2.2,Easy to navigate,Very easy to use and navigate the Verizon app! I love how I can do just about everything from it.
331670539,Jaxxed76,2025-10-02T21:45:36-07:00,5,21.2.2,Easy and convenient,I love the convenience of Verizon My Verizon app and there partnerships make it so easy to maintain subscriptions and communication.
331592792,Jeff Mcc*****,2025-10-02T21:14:21-07:00,1,21.2.2,So hard to cancel plans,Why do you guys make it so hard to cancel a device on my l plan? I have been with VZW for 11+years and I’ve seen the MANY stages of this app. STOP HIDING OPTIONS in the app! I am sick and tired of this company making it hard to change/cancel things.
331369785,vit113799536,2025-10-02T19:48:48-07:00,1,21.2.2,Low quality,"absolutely, uncomfortable user not friendly"
330710270,youkilledyourself,2025-10-02T15:51:40-07:00,1,21.2.2,Verizon is garbage,"Rates keep going up, cellular reception is one star on a good day, personnel is less than helpful."
330205508,Shinobi kye,2025-10-02T12:51:26-07:00,5,21.2.2,Review,"It helps me figure out how much my bills are each month, when it’s due, how much service I have left."
330035714,D.G (Fashionista in training),2025-10-02T11:57:52-07:00,1,21.2.2,Seems Sketchy on prepaid service,"It seems like this app is incomplete for Prepay customers and has no features that would be of any use. A co worker of mine showed me his app and it looks like the app in the updated photos with the functionality of bill pay and multiple device recognition, however the app I am currently using (which came from the App Store on the phone) looks completely different and has several spelling errors. Every time I try to look up device information I get a flashing circle and then an error message that the app is unable to process my request. It seems this app is made for postpaid customers who are spending tons of money on the service and us prepay customers are getting the bare minimum that rarely works and offers no security or peace of mind in security."
329931449,Team 86,2025-10-02T11:26:33-07:00,5,21.2.2,Raisa,86th Street
329920093,mrAssman,2025-10-02T11:23:11-07:00,1,21.2.2,Wretched,Worst app and support of any company in America
326919604,joeyd0771,2025-10-01T19:47:15-07:00,1,21.2.2,Garbage app,"This has been a horrible app since its inception. The ap freezes up and crashes midway through every time I use it. Whether I’m trying to pay my bill, access my account or access parental controls.  Nightmare"
325608379,berto1337,2025-10-01T12:06:18-07:00,1,21.2.2,Advertisement Spam,Verizon constantly sends you spam and advertising through iOS notifications with no way to disable them.
325254372,12XBuddy,2025-10-01T10:24:36-07:00,5,21.2.2,Buddy,Buddy
324961970,swan.xy87,2025-10-01T09:06:30-07:00,2,21.2.2,lack of awareness,all services are gradually declining. and rates are going up. local passes sold out asap. bots.
324869301,Nomadus13,2025-10-01T08:42:50-07:00,1,21.2.2,Frustrating,"This phone company makes billions charging customers excessive to pay for the useless adds we don’t watch. You’d think they make an app user-friendly, instead they’re too focused on getting more money. It should be simple to find your way around!"
324815406,Bartee💯,2025-10-01T08:29:19-07:00,5,21.2.2,Superb,It’s been great can’t complain
324797196,CrakS,2025-10-01T08:24:47-07:00,1,21.2.2,Where is my bill?,"Verizon, what have you done with this app? Where is mg bill? Why can I find literally everything except my bill?!?"
324363698,jenniferhow422,2025-10-01T06:39:26-07:00,4,21.2.2,Rewards,"I like that you have the $15 off of fandango at home. Keep them coming. But I can never claim a big reward like the top golf or I think one was a trip to Florida for buccaneers game, even if I wait for the clock to wind down to zero. It always says all the tickets have been claimed even though I waited for it to hit zero and can claim it."
324316226,Noneck rob,2025-10-01T06:27:47-07:00,5,21.2.2,No good,Go with metro pcs this company is no good they are a bunch of thieves
323050543,Teruboku,2025-09-30T23:53:30-07:00,5,21.2.2,Satisfying,Prompt professional service.
322181002,IHateYourAppppp,2025-09-30T18:34:26-07:00,1,21.2.2,Terrible interface,Can’t even add a card to my payment methods. This has been an ongoing issue for MONTHS. Someone needs some retraining over in the coding department.
321311137,HodgesHodges84,2025-09-30T13:25:06-07:00,1,21.2.2,Glitchy,"For a major telecom company, this app is embarrassingly bad. Often times I'll open it and just receive a blank black screen. Other times I'll be trying to upgrade my service and the customer support rep will send a link that can't open. Just total garbage all around"
320228591,Micherisy,2025-09-30T08:19:31-07:00,1,21.2.2,Lying false advertising everywhere,"Stay away from Verizon internet and phone. Hidden fees, false advertising and lying everywhere you look makes Verizon one of the scummiest internet and phone companies in existence. The app routinely lies about costs of internet and other services (it will show 40 a month and turn arround and charge you 99.99 a month."
320143703,JFCKJMSC,2025-09-30T07:58:16-07:00,5,21.2.2,Jj,The app has improved. Scheduling payments at a future date has improved!  Paying a bill has become easier. Give that person who fixed this a raise
319938458,odie2766,2025-09-30T07:07:31-07:00,1,21.2.2,Run!,"Run run run! Run as fast as you can! I have been with this company for over 25 years and it’s been great, until about 3 years ago. It has been nothing but issue after issue. I don’t remember why but 3 years ago they made me get a new line in order to fix an issue.
My current issue started last year. I lost my phone, it was gone. Issue wanted nearly 400 to replace it, I couldn’t do that at the time. They suggested and talked me into getting a new phone by adding another line to my account. I would pay for both lines for a year, then once my old phone was paid off, I could cancel that line. Current time, beginning of August. I go in to do that,only to find out that they for some reason, they switched the phone numbers and phones. They wanted me to pay off the rest of my current phone in order to remove the added line. Then it was, we will switch your phone number and phones around so that you can close the phone that’s paid off. I’ve been in and out of the store. On the phone with several different agents and different times. I’ve tried to get them to fix it through chat. Still not fixed! 2 months still not fixed. Plus my bill normally is around 200, I was expected around 400 but they took 600 from my account. I go into my Verizon today and they are trying to charge me nearly 400 again this month. And nothing has been fixed on my account. So I got onto my Verizon again…I told them I was giving them one more shot to get it fixed, if they didn’t get in done I was going to AT&T.
After an hour my Verizon stopped working  and I could no longer login to my Verizon and my hotspot no longer worked. 
Guess I’ll be going to AT&T during my lunch break today."
319700083,Truxity,2025-09-30T06:07:27-07:00,1,21.2.2,Running away as fast I can,"Been with Verizon my entire adult life. 
Awful, will gouge you for penny they can. 
Trying to cancel my plans and they won’t do it in store, how is that even legal? 
Crooks and thieves"
319676365,Dopeeline11,2025-09-30T06:01:21-07:00,1,21.2.2,Terrible phone company,If I could switch phone companies I would. I don’t recommend their service to anyone
319542144,Cher101014,2025-09-30T05:26:08-07:00,5,21.2.2,Verizon is Truly the BEST,"Everything from customer service to the service provided by Verizon is amazing. They are considerate, understanding and compassionate. I love Verizon. I will never switch."
318142087,Cuñao de la ex,2025-09-29T20:53:40-07:00,5,21.2.2,The best,"Nothing to say, theur the best"
317840324,armiks1986,2025-09-29T18:54:08-07:00,1,21.2.2,The most difficult app to use,"Impossible to find things and when you locate them , you still need to call support, which doesn’t work in the times convenient for a users. Regretting switching to Verizon"
317277355,D. Corbin,2025-09-29T15:21:53-07:00,5,21.2.2,Five Stars,Antwan for all the hours it took successfully completed my Verizon reward. His patience was impeccable!!!
317083409,I don’t have one1!,2025-09-29T14:10:49-07:00,5,21.2.2,Address your everyday needs go above and beyond and a team. Thank you guys from me as my son!.,Address security Risk concerns and took a step forth to solve a serious public matter as a unit. At first I wasn’t sure or felt safe however their dedicated agents made swift actions to make sure I am with the right support!. Thank you guys!.
316369155,Dan n Jo,2025-09-29T10:24:08-07:00,5,21.2.2,My New Verizon,We are totally enjoying our new 5G Wide Band Verizon in my main residence and totally enjoying our new Fios Verizon in our other home at the shore. Big choice of channels. No problems.
316254788,Jammin June,2025-09-29T09:51:53-07:00,5,21.2.2,Verizon,Great service
316108367,La ponky,2025-09-29T09:11:59-07:00,5,21.2.2,La ponky,La ponky
313998564,Funjoon,2025-09-28T21:33:51-07:00,1,21.2.2,Buggy system,Can’t login to personal family account.  Automatically changes to business login.  Otherwise it keeps linking to error message.  Customer service not available evening time to be helpful.  Expect better quality from a big company. Absolute garbage.  Website has the same exact issue.
313187371,Skywar05677,2025-09-28T16:10:55-07:00,1,21.2.2,Terrible app,Impossible to login with mobile
313127429,Msurrena,2025-09-28T15:47:27-07:00,1,21.2.2,Customer service is terrible,"If you love being on hold for hours on end and getting disconnected and then being blamed that it’s your fault you were disconnected go with Verizon.  Oh, and don’t forget you’re overcharged too."
313094671,SantiagoWRLD,2025-09-28T15:34:40-07:00,4,21.2.2,Cluttered UI,I Love you Verizon but the app’s UI is so confusing that I can’t figure out where to pay my bills in the app like before. I miss being able to easily acc my bill with one tap or click.
312966269,DJamazingz,2025-09-28T14:45:53-07:00,5,21.2.2,Real,I’ve been with Verizon for almost 2 years and don’t plan on going anywhere. Love their customer service.
312604998,Dillasaysgo,2025-09-28T12:42:10-07:00,5,21.2.2,Well designed app! Incredibly productive,This app just gets better and better! Love using this app!! You can manage virtually anything that has to do with your Verizon account including seamlessly ordering new devices. Setting up payment plans on your bill or new devices is also effortless. Adding new lines. Adding credit/debit cards and bank accounts. Getting support for your devices and lines. Checking how much you may owe on devices or when you are eligible for an upgrade. It’s endless how much power it puts in your hand. So helpful. This app is essential to anyone that has a Verizon Wireless account.
312458385,Sal 2437,2025-09-28T11:57:56-07:00,1,21.2.2,Just a flashy to upsell customers,I used to be able to see and download my actual bill. Now the best I can do is have a nonperson “explain” the details of a bill I cannot see in general terms.
312140033,Kevin D714,2025-09-28T10:29:18-07:00,5,21.2.2,Happy,"Well, I have to say I’m not surprised, but Verizon has made it a very easy and smooth transition for me getting my new services. They were very helpful on the phone and very good with the delivery of my new equipment. If I knew it was this good I would’ve been here a long time ago. Thank you Verizon!"
